id,text_chunk,source,auto_label,label
2974,"Microsoft for Sustainability provides tools to measure and manage emissions, water, and waste across operations, helping teams make datadriven decisions that align with sustainability goals. This enables a shift from reactive compliance to proactive impact reduction. Customers using Microsoft for Sustainability can embed sustainability into their core operations and decision-making, uncover new efficiencies, optimize supply chains, advance research and materials innovation, build business resilience, and differentiate in the market.",gold,,1
1401,"We see several areas of potential development in generative AI, including:   Engineering efficie y: Visa has conducted large-scale pilots of generative AI capabilities for day-to-day coding and testing of our software and is now rolling this out broadly to our developers. Generative AI will allow our developers to benefit from sophisticated AI capabilities at scale. Employee productivity: Visa has deployed a secure instance of GPT-4 to employees, which can help with content summarization, research, drafting and analysis, enabling all of us to focus more of our time on strategic, high-value activities that drive growth for our business and for our clients.",gold,,1
7627,Our medium and large sites are required to maintain master plans that identify opportunities for emission reductions. These projects are reviewed through our capital project appropriation process. The costs to implement these projects as well as the expected cost savings are included in the site s operating budgets and / or capital plans as appropriate.,gold,1.0,1
1156,"Amazon s 2022 total plastic packaging use has been updated to 86,055 metric tons; 139 metric tons (or 0.2%) higher than last year s report to align with our 2023 footprint methodology. 17 Rest of World includes the following countries: Australia, Brazil, Egypt, Mexico, Saudi Arabia, Singapore, and the United Arab Emirates. 18 BOTTLE: Bio-Optimized Technologies to keep Thermoplastics out of Landfills and the Environment.",gold,0.0,0
5932,"Total electricity consumption includes both purchased and self-generated electricity. Where actual natural gas or electricity consumption for facilities isn t available, we estimate consumption using company square footage and internally developed intensity factors based on data from the reporting period. We calculate electricity purchased from renewable sources (%) on a calendar-year basis for our global operations by dividing the megawatt-hours of renewable electricity procured (i.e., through PPA contracts, on-site AI for sustainability Our operations Our products Introduction Appendix renewable energy generation, and renewable energy in the electric grids where our facilities are located) by the total megawatt-hours of electricity consumed.",gold,,0
2184,"Between 2022 and 2023, the cohort enrollment grew from 534 to 800 participants. We've also rolled out an EV technician training curriculum with partnerships in government and industry associations in Australia, New Zealand, Korea and Hong Kong. Future Talent Program Piloted in the U.K. and Ireland, this traineeship pathway is designed for early careers and career changes with a fast track 12-month program to rotate around all Tesla core Sales, Service and Delivery departments with eight-week rotations.",gold,,0
418,"In 2022, we became a member of the Australian Packaging Covenant Organisation (APCO), a nonprofit group leading the development of a circular economy for packaging in Australia. Along with setting the country s 2025 national packaging targets, APCO works to foster a collaborative packaging value chain in Australia. We support the European Commission s goal to tackle excessive packaging via legislation such as the EU Packaging and Packaging Waste Regulation (PPWR).",gold,1.0,1
7125,"These fireside chats were broadcast publicly and aimed to provide investors the opportunity to learn more about Pfizer s ESG priorities and activities. Environment Introduction Impact Stories Social Governance Performance Appendix Pfizer 2022 ESG Report Introduction Our Stakeholders   Continued Colleagues We want all our colleagues to develop, grow, and succeed and believe everyone deserves to be seen, heard, and respected for who they are. We hold regular meetings and Town Hall events focused on employees and their needs, conduct regular surveys to understand colleague satisfaction and other aspects of corporate culture, and invest in programs to help colleagues manage their mental and physical well-being.",gold,1.0,1
7452,"Estimates comprise less than 3% of Scope 1 and 2 GHG emissions. Tracking of the Scope 3 supplier engagement goal was initiated in 2021. We have expanded to include companies publicly committed to setting science-based targets through the Science Based Target Initiative (SBTi), along with companies with SBTi-approved targets.",gold,0.0,0
7173,Responsible Consumption and Production We aim to achieve environmentally sound life cycle management and adopt sustainable practices Climate Action Through our goals we are taking urgent action to help combat climate change and its impacts. Environment Environment Impact Stories Introduction Social Governance Performance Appendix Pfizer 2022 ESG Report Climate Change We recognize global climate change as one of the defining issues of our time requiring collective action to mitigate the risks it poses such as increased adverse impacts on human health and decreased access to critical medicines and vaccines due to disruptions in value chains caused by the greater frequency of severe weather. Pfizer is continuing its near-term commitment to reduce company Greenhouse Gas (GHG) emissions aligned with a 1.5 C trajectory and to engage suppliers so that they also set science-based GHG emissions reduction goals.,gold,1.0,1
